date,max_temp,min_temp,avg_temp,departure,HDD,CDD,precipitation,new_snow,snow_depth
2020/10/01,72,60,66,2.5,0,1,T,0,0
2020/10/02,65,53,59,-4.1,6,0,0.04,0,0
2020/10/03,66,52,59,-3.7,6,0,0,0,0
2020/10/04,67,51,59,-3.3,6,0,0,0,0
2020/10/05,70,53,61.5,-0.4,3,0,0,0,0
2020/10/06,69,57,63,1.5,2,0,0,0,0
2020/10/07,74,60,67,5.9,0,2,0.02,0,0
2020/10/08,64,53,58.5,-2.3,6,0,0,0,0
2020/10/09,69,50,59.5,-0.9,5,0,0,0,0
2020/10/10,71,58,64.5,4.5,0,0,0,0,0
2020/10/11,67,57,62,2.4,3,0,T,0,0
2020/10/12,57,49,53,-6.3,12,0,0.96,0,0
2020/10/13,58,53,55.5,-3.4,9,0,0.34,0,0
2020/10/14,67,50,58.5,0,6,0,0,0,0
2020/10/15,71,57,64,5.8,1,0,0,0,0
2020/10/16,66,47,56.5,-1.3,8,0,1.36,0,0
2020/10/17,59,44,51.5,-6,13,0,0.01,0,0
2020/10/18,62,46,54,-3.1,11,0,0,0,0
2020/10/19,65,51,58,1.2,7,0,0,0,0
2020/10/20,71,57,64,7.6,1,0,T,0,0
2020/10/21,68,59,63.5,7.4,1,0,0,0,0
2020/10/22,68,64,66,10.2,0,1,0,0,0
2020/10/23,69,63,66,10.6,0,1,0,0,0
2020/10/24,69,48,58.5,3.4,6,0,0,0,0
2020/10/25,53,45,49,-5.8,16,0,0.02,0,0
2020/10/26,59,51,55,0.6,10,0,0.02,0,0
2020/10/27,59,52,55.5,1.4,9,0,T,0,0
2020/10/28,57,52,54.5,0.7,10,0,0.11,0,0
2020/10/29,56,46,51,-2.5,14,0,1.53,0,0
2020/10/30,47,37,42,-11.2,23,0,0.64,0,0
2020/10/31,46,32,39,-13.8,26,0,0,0,0
