date,max_temp,min_temp,avg_temp,departure,HDD,CDD,precipitation,new_snow,snow_depth
2020/07/01,80,67,73.5,-2.8,0,9,0.03,0,0
2020/07/02,92,68,80,3.6,0,15,0,0,0
2020/07/03,90,71,80.5,3.9,0,16,0.13,0,0
2020/07/04,87,68,77.5,0.7,0,13,0,0,0
2020/07/05,92,72,82,5.1,0,17,0,0,0
2020/07/06,96,70,83,5.9,0,18,0.54,0,0
2020/07/07,82,72,77,-0.2,0,12,0,0,0
2020/07/08,83,75,79,1.7,0,14,0.02,0,0
2020/07/09,89,75,82,4.6,0,17,0,0,0
2020/07/10,77,73,75,-2.5,0,10,2.54,0,0
2020/07/11,83,72,77.5,-0.1,0,13,0.76,0,0
2020/07/12,87,71,79,1.3,0,14,0.04,0,0
2020/07/13,86,70,78,0.3,0,13,0.02,0,0
2020/07/14,85,70,77.5,-0.3,0,13,0,0,0
2020/07/15,82,70,76,-1.8,0,11,0,0,0
2020/07/16,78,69,73.5,-4.3,0,9,0,0,0
2020/07/17,84,69,76.5,-1.4,0,12,0.03,0,0
2020/07/18,91,72,81.5,3.6,0,17,0,0,0
2020/07/19,94,77,85.5,7.6,0,21,0,0,0
2020/07/20,93,81,87,9.1,0,22,0,0,0
2020/07/21,91,77,84,6.1,0,19,0,0,0
2020/07/22,92,72,82,4.1,0,17,1.42,0,0
2020/07/23,86,73,79.5,1.7,0,15,T,0,0
2020/07/24,80,72,76,-1.8,0,11,0.19,0,0
2020/07/25,88,72,80,2.2,0,15,0,0,0
2020/07/26,92,77,84.5,6.7,0,20,0,0,0
2020/07/27,93,76,84.5,6.8,0,20,0,0,0
2020/07/28,93,80,86.5,8.8,0,22,0,0,0
2020/07/29,90,77,83.5,5.9,0,19,0,0,0
2020/07/30,92,74,83,5.4,0,18,0.08,0,0
2020/07/31,82,70,76,-1.5,0,11,0.78,0,0
