date,max_temp,min_temp,avg_temp,departure,HDD,CDD,precipitation,new_snow,snow_depth
2019/04/01,46,33,39.5,-8.6,25,0,0,0,0
2019/04/02,52,39,45.5,-2.9,19,0,T,0,0
2019/04/03,67,41,54,5.2,11,0,0,0,0
2019/04/04,60,44,52,2.8,13,0,0,0,0
2019/04/05,45,38,41.5,-8.1,23,0,0.2,0,0
2019/04/06,68,39,53.5,3.5,11,0,0,0,0
2019/04/07,66,51,58.5,8.1,6,0,0,0,0
2019/04/08,79,49,64,13.2,1,0,0.26,0,0
2019/04/09,51,46,48.5,-2.7,16,0,0.03,0,0
2019/04/10,60,45,52.5,0.9,12,0,0,0,0
2019/04/11,55,40,47.5,-4.5,17,0,0,0,0
2019/04/12,68,46,57,4.6,8,0,0.63,0,0
2019/04/13,77,59,68,15.2,0,3,0.24,0,0
2019/04/14,73,60,66.5,13.3,0,2,0.01,0,0
2019/04/15,65,46,55.5,1.9,9,0,0.96,0,0
2019/04/16,66,44,55,1,10,0,T,0,0
2019/04/17,63,48,55.5,1.2,9,0,0.01,0,0
2019/04/18,62,51,56.5,1.8,8,0,T,0,0
2019/04/19,80,58,69,13.9,0,4,0.01,0,0
2019/04/20,64,55,59.5,4,5,0,0.7,0,0
2019/04/21,66,53,59.5,3.7,5,0,0,0,0
2019/04/22,64,52,58,1.8,7,0,0.24,0,0
2019/04/23,77,56,66.5,10,0,2,0.08,0,0
2019/04/24,69,55,62,5.1,3,0,T,0,0
2019/04/25,66,48,57,-0.2,8,0,0.02,0,0
2019/04/26,59,51,55,-2.6,10,0,1.03,0,0
2019/04/27,58,47,52.5,-5.4,12,0,0.07,0,0
2019/04/28,53,45,49,-9.2,16,0,0.01,0,0
2019/04/29,60,41,50.5,-8,14,0,0.01,0,0
2019/04/30,60,48,54,-4.9,11,0,0.04,0,0
