date,max_temp,min_temp,avg_temp,departure,HDD,CDD,precipitation,new_snow,snow_depth
2020/01/01,41,34,37.5,2.3,27,0,0,0,0
2020/01/02,49,33,41,6,24,0,0,0,0
2020/01/03,49,44,46.5,11.7,18,0,0.15,0,0
2020/01/04,51,41,46,11.3,19,0,0.27,0,0
2020/01/05,42,35,38.5,4,26,0,T,0,0
2020/01/06,45,32,38.5,4.1,26,0,0.04,0.2,0
2020/01/07,45,36,40.5,6.3,24,0,T,0,0
2020/01/08,42,28,35,0.9,30,0,T,T,0
2020/01/09,34,23,28.5,-5.4,36,0,0,0,0
2020/01/10,55,33,44,10.2,21,0,0,0,0
2020/01/11,69,51,60,26.3,5,0,0,0,0
2020/01/12,68,43,55.5,21.9,9,0,0.05,0,0
2020/01/13,46,37,41.5,8,23,0,0,0,0
2020/01/14,46,39,42.5,9.1,22,0,0.07,0,0
2020/01/15,50,41,45.5,12.1,19,0,T,0,0
2020/01/16,49,33,41,7.7,24,0,0.11,T,0
2020/01/17,33,21,27,-6.3,38,0,0,0,0
2020/01/18,37,20,28.5,-4.7,36,0,0.37,2.1,0
2020/01/19,43,27,35,1.8,30,0,T,0,1
2020/01/20,31,20,25.5,-7.7,39,0,0,0,0
2020/01/21,33,20,26.5,-6.6,38,0,0,0,0
2020/01/22,38,25,31.5,-1.6,33,0,0,0,0
2020/01/23,47,33,40,6.8,25,0,0,0,0
2020/01/24,51,37,44,10.8,21,0,0,0,0
2020/01/25,51,38,44.5,11.3,20,0,0.85,0,0
2020/01/26,46,38,42,8.8,23,0,0,0,0
2020/01/27,45,37,41,7.7,24,0,0,0,0
2020/01/28,43,37,40,6.6,25,0,0,0,0
2020/01/29,41,31,36,2.6,29,0,0,0,0
2020/01/30,38,25,31.5,-2,33,0,0,0,0
2020/01/31,44,33,38.5,4.9,26,0,0.02,0,0
