date,max_temp,min_temp,avg_temp,departure,HDD,CDD,precipitation,new_snow,snow_depth
2020/04/01,56,38,47,-1.1,18,0,0,0,0
2020/04/02,58,38,48,-0.4,17,0,0,0,0
2020/04/03,52,45,48.5,-0.3,16,0,0.13,0,0
2020/04/04,62,46,54,4.8,11,0,0.02,0,0
2020/04/05,65,47,56,6.4,9,0,0,0,0
2020/04/06,66,49,57.5,7.5,7,0,0.07,0,0
2020/04/07,68,52,60,9.6,5,0,0,0,0
2020/04/08,64,49,56.5,5.7,8,0,0.2,0,0
2020/04/09,59,43,51,-0.2,14,0,0.12,0,0
2020/04/10,49,37,43,-8.6,22,0,0.01,T,0
2020/04/11,56,38,47,-5,18,0,0,0,0
2020/04/12,63,44,53.5,1.1,11,0,0,0,0
2020/04/13,67,53,60,7.2,5,0,1.92,0,0
2020/04/14,60,47,53.5,0.3,11,0,T,0,0
2020/04/15,54,42,48,-5.6,17,0,T,0,0
2020/04/16,50,38,44,-10,21,0,0,0,0
2020/04/17,51,36,43.5,-10.8,21,0,0.07,0,0
2020/04/18,46,41,43.5,-11.2,21,0,0.22,0,0
2020/04/19,63,40,51.5,-3.6,13,0,0,0,0
2020/04/20,57,48,52.5,-3,12,0,0,0,0
2020/04/21,61,39,50,-5.8,15,0,0.18,0,0
2020/04/22,51,36,43.5,-12.7,21,0,0,0,0
2020/04/23,52,40,46,-10.5,19,0,0.13,0,0
2020/04/24,49,42,45.5,-11.4,19,0,0.48,0,0
2020/04/25,65,44,54.5,-2.7,10,0,0,0,0
2020/04/26,51,42,46.5,-11.1,18,0,0.22,0,0
2020/04/27,50,39,44.5,-13.4,20,0,T,0,0
2020/04/28,67,41,54,-4.2,11,0,0,0,0
2020/04/29,59,47,53,-5.5,12,0,0.01,0,0
2020/04/30,60,49,54.5,-4.4,10,0,0.71,0,0
