date,max_temp,min_temp,avg_temp,departure,HDD,CDD,precipitation,new_snow,snow_depth
2019/10/01,81,63,72,8.5,0,7,0,0,0
2019/10/02,93,63,78,14.9,0,13,0.03,0,0
2019/10/03,63,53,58,-4.7,7,0,0.34,0,0
2019/10/04,66,50,58,-4.3,7,0,T,0,0
2019/10/05,61,45,53,-8.9,12,0,0,0,0
2019/10/06,70,57,63.5,2,1,0,0.01,0,0
2019/10/07,79,59,69,7.9,0,4,0.2,0,0
2019/10/08,64,57,60.5,-0.3,4,0,0.02,0,0
2019/10/09,59,51,55,-5.4,10,0,0.54,0,0
2019/10/10,71,53,62,2,3,0,T,0,0
2019/10/11,64,55,59.5,-0.1,5,0,0,0,0
2019/10/12,67,55,61,1.7,4,0,0,0,0
2019/10/13,67,53,60,1.1,5,0,T,0,0
2019/10/14,72,58,65,6.5,0,0,0,0,0
2019/10/15,64,51,57.5,-0.7,7,0,0,0,0
2019/10/16,66,52,59,1.2,6,0,1.83,0,0
2019/10/17,57,51,54,-3.5,11,0,0,0,0
2019/10/18,58,47,52.5,-4.6,12,0,0,0,0
2019/10/19,60,43,51.5,-5.3,13,0,0,0,0
2019/10/20,59,49,54,-2.4,11,0,0.54,0,0
2019/10/21,67,51,59,2.9,6,0,T,0,0
2019/10/22,63,55,59,3.2,6,0,0.57,0,0
2019/10/23,65,54,59.5,4.1,5,0,0.01,0,0
2019/10/24,67,50,58.5,3.4,6,0,0,0,0
2019/10/25,65,52,58.5,3.7,6,0,0,0,0
2019/10/26,63,52,57.5,3.1,7,0,0.01,0,0
2019/10/27,67,55,61,6.9,4,0,1.38,0,0
2019/10/28,63,55,59,5.2,6,0,0,0,0
2019/10/29,59,54,56.5,3,8,0,0.07,0,0
2019/10/30,63,58,60.5,7.3,4,0,0.06,0,0
2019/10/31,71,60,65.5,12.7,0,1,0.54,0,
