date,max_temp,min_temp,avg_temp,departure,HDD,CDD,precipitation,new_snow,snow_depth
2019/07/01,85,65,75,-1.3,0,10,0,0,0
2019/07/02,85,71,78,1.6,0,13,0.02,0,0
2019/07/03,87,75,81,4.4,0,16,T,0,0
2019/07/04,90,74,82,5.2,0,17,0,0,0
2019/07/05,86,72,79,2.1,0,14,0,0,0
2019/07/06,90,76,83,5.9,0,18,T,0,0
2019/07/07,86,72,79,1.8,0,14,0,0,0
2019/07/08,78,68,73,-4.3,0,8,0.04,0,0
2019/07/09,87,69,78,0.6,0,13,0,0,0
2019/07/10,88,74,81,3.5,0,16,0,0,0
2019/07/11,87,73,80,2.4,0,15,0.79,0,0
2019/07/12,87,72,79.5,1.8,0,15,0,0,0
2019/07/13,85,70,77.5,-0.2,0,13,0,0,0
2019/07/14,89,76,82.5,4.7,0,18,0,0,0
2019/07/15,85,68,76.5,-1.3,0,12,0,0,0
2019/07/16,91,72,81.5,3.7,0,17,0,0,0
2019/07/17,93,73,83,5.1,0,18,1.82,0,0
2019/07/18,79,71,75,-2.9,0,10,0.51,0,0
2019/07/19,91,71,81,3.1,0,16,0,0,0
2019/07/20,95,82,88.5,10.6,0,24,0,0,0
2019/07/21,95,80,87.5,9.6,0,23,T,0,0
2019/07/22,90,72,81,3.1,0,16,1.66,0,0
2019/07/23,74,67,70.5,-7.3,0,6,0.53,0,0
2019/07/24,83,67,75,-2.8,0,10,0.02,0,0
2019/07/25,84,70,77,-0.8,0,12,0,0,0
2019/07/26,88,69,78.5,0.7,0,14,0,0,0
2019/07/27,85,72,78.5,0.8,0,14,0,0,0
2019/07/28,88,71,79.5,1.8,0,15,0.01,0,0
2019/07/29,90,73,81.5,3.9,0,17,0,0,0
2019/07/30,92,78,85,7.4,0,20,0.01,0,0
2019/07/31,87,70,78.5,1,0,14,0.36,0,0
